"","AREA","AGE_ADJUSTED_CI_LOWER","AGE_ADJUSTED_CI_UPPER","AGE_ADJUSTED_RATE","COUNT","EVENT_TYPE","POPULATION","RACE","SEX","SITE","YEAR","CRUDE_CI_LOWER","CRUDE_CI_UPPER","CRUDE_RATE"
"21","New Jersey",458.5,470.3,464.4,"24789","Incidence",4493506,"All Races","Female","All Cancer Sites Combined","2009",544.8,558.6,551.7
"22","New Jersey",146.2,152.7,149.4,"8462","Mortality",4493506,"All Races","Female","All Cancer Sites Combined","2009",184.3,192.4,188.3
"23","New Jersey",449.6,461.2,455.4,"24682","Incidence",4515647,"All Races","Female","All Cancer Sites Combined","2010",539.8,553.5,546.6
"24","New Jersey",143.6,150,146.8,"8456","Mortality",4515647,"All Races","Female","All Cancer Sites Combined","2010",183.3,191.3,187.3
"25","New Jersey",450,461.6,455.7,"24921","Incidence",4527433,"All Races","Female","All Cancer Sites Combined","2011",543.6,557.3,550.4
"26","New Jersey",142.9,149.2,146,"8462","Mortality",4527433,"All Races","Female","All Cancer Sites Combined","2011",182.9,190.9,186.9
"27","New Jersey",450.5,462,456.2,"25295","Incidence",4534238,"All Races","Female","All Cancer Sites Combined","2012",551,564.8,557.9
"28","New Jersey",136.1,142.3,139.2,"8226","Mortality",4534238,"All Races","Female","All Cancer Sites Combined","2012",177.5,185.4,181.4
"29","New Jersey",461.4,473,467.2,"26137","Incidence",4538032,"All Races","Female","All Cancer Sites Combined","2013",569,583,576
"30","New Jersey",134,140.1,137,"8197","Mortality",4538032,"All Races","Female","All Cancer Sites Combined","2013",176.7,184.6,180.6
"31","New Jersey",457.7,469.2,463.4,"26240","Incidence",4540537,"All Races","Female","All Cancer Sites Combined","2014",570.9,584.9,577.9
"32","New Jersey",135.5,141.6,138.5,"8432","Mortality",4540537,"All Races","Female","All Cancer Sites Combined","2014",181.8,189.7,185.7
"33","New Jersey",458.7,470.2,464.5,"26575","Incidence",4541567,"All Races","Female","All Cancer Sites Combined","2015",578.1,592.2,585.2
"34","New Jersey",130.3,136.2,133.2,"8193","Mortality",4541567,"All Races","Female","All Cancer Sites Combined","2015",176.5,184.3,180.4
"35","New Jersey",453.6,465,459.3,"26482","Incidence",4540927,"All Races","Female","All Cancer Sites Combined","2016",576.2,590.3,583.2
"36","New Jersey",132.3,138.3,135.3,"8410","Mortality",4540927,"All Races","Female","All Cancer Sites Combined","2016",181.3,189.2,185.2
"37","New Jersey",450.7,462.1,456.4,"26658","Incidence",4546951,"All Races","Female","All Cancer Sites Combined","2017",579.3,593.4,586.3
"38","New Jersey",127.5,133.3,130.3,"8251","Mortality",4546951,"All Races","Female","All Cancer Sites Combined","2017",177.6,185.4,181.5
"39","New Jersey",447.4,458.6,453,"26627","Incidence",4545338,"All Races","Female","All Cancer Sites Combined","2018",578.8,592.9,585.8
"40","New Jersey",122.6,128.2,125.4,"8035","Mortality",4545338,"All Races","Female","All Cancer Sites Combined","2018",172.9,180.7,176.8
"41","New Jersey",5.9,7.4,6.6,"313","Incidence",4304271,"All Races","Female","Brain and Other Nervous System","1999",6.5,8.1,7.3
"42","New Jersey",3.2,4.4,3.8,"181","Mortality",4304271,"All Races","Female","Brain and Other Nervous System","1999",3.6,4.9,4.2
"43","New Jersey",5.4,6.9,6.1,"287","Incidence",4340112,"All Races","Female","Brain and Other Nervous System","2000",5.9,7.4,6.6
"44","New Jersey",2.6,3.6,3,"150","Mortality",4340112,"All Races","Female","Brain and Other Nervous System","2000",2.9,4.1,3.5
"45","New Jersey",5.6,7,6.3,"295","Incidence",4369932,"All Races","Female","Brain and Other Nervous System","2001",6,7.6,6.8
"46","New Jersey",2.5,3.5,3,"144","Mortality",4369932,"All Races","Female","Brain and Other Nervous System","2001",2.8,3.9,3.3
"47","New Jersey",4.9,6.2,5.5,"262","Incidence",4398801,"All Races","Female","Brain and Other Nervous System","2002",5.3,6.7,6
"48","New Jersey",2.4,3.4,2.9,"145","Mortality",4398801,"All Races","Female","Brain and Other Nervous System","2002",2.8,3.9,3.3
"49","New Jersey",5.5,6.9,6.2,"295","Incidence",4421964,"All Races","Female","Brain and Other Nervous System","2003",5.9,7.5,6.7
"50","New Jersey",2.1,3,2.5,"129","Mortality",4421964,"All Races","Female","Brain and Other Nervous System","2003",2.4,3.5,2.9
"51","New Jersey",6.3,7.8,7,"342","Incidence",4436964,"All Races","Female","Brain and Other Nervous System","2004",6.9,8.6,7.7
"52","New Jersey",2.8,3.9,3.3,"167","Mortality",4436964,"All Races","Female","Brain and Other Nervous System","2004",3.2,4.4,3.8
"53","New Jersey",5.1,6.5,5.8,"280","Incidence",4443545,"All Races","Female","Brain and Other Nervous System","2005",5.6,7.1,6.3
"54","New Jersey",2.6,3.5,3,"156","Mortality",4443545,"All Races","Female","Brain and Other Nervous System","2005",3,4.1,3.5
"55","New Jersey",5,6.4,5.7,"278","Incidence",4448099,"All Races","Female","Brain and Other Nervous System","2006",5.5,7,6.2
"56","New Jersey",2.5,3.4,2.9,"148","Mortality",4448099,"All Races","Female","Brain and Other Nervous System","2006",2.8,3.9,3.3
"57","New Jersey",5.7,7.2,6.4,"314","Incidence",4455148,"All Races","Female","Brain and Other Nervous System","2007",6.3,7.9,7
"58","New Jersey",2.6,3.6,3.1,"158","Mortality",4455148,"All Races","Female","Brain and Other Nervous System","2007",3,4.1,3.5
"59","New Jersey",5.3,6.7,6,"295","Incidence",4469901,"All Races","Female","Brain and Other Nervous System","2008",5.9,7.4,6.6
"60","New Jersey",2.1,3,2.6,"133","Mortality",4469901,"All Races","Female","Brain and Other Nervous System","2008",2.5,3.5,3
"61","New Jersey",5.2,6.6,5.8,"292","Incidence",4493506,"All Races","Female","Brain and Other Nervous System","2009",5.8,7.3,6.5
"62","New Jersey",2.4,3.4,2.9,"155","Mortality",4493506,"All Races","Female","Brain and Other Nervous System","2009",2.9,4,3.4
"63","New Jersey",5.5,7,6.2,"312","Incidence",4515647,"All Races","Female","Brain and Other Nervous System","2010",6.2,7.7,6.9
"64","New Jersey",2.5,3.5,3,"161","Mortality",4515647,"All Races","Female","Brain and Other Nervous System","2010",3,4.2,3.6
"65","New Jersey",4.9,6.3,5.6,"283","Incidence",4527433,"All Races","Female","Brain and Other Nervous System","2011",5.5,7,6.3
"66","New Jersey",2.8,3.8,3.3,"179","Mortality",4527433,"All Races","Female","Brain and Other Nervous System","2011",3.4,4.6,4
"67","New Jersey",5.1,6.5,5.8,"292","Incidence",4534238,"All Races","Female","Brain and Other Nervous System","2012",5.7,7.2,6.4
"68","New Jersey",2.4,3.3,2.8,"163","Mortality",4534238,"All Races","Female","Brain and Other Nervous System","2012",3.1,4.2,3.6
"69","New Jersey",5.6,7,6.3,"321","Incidence",4538032,"All Races","Female","Brain and Other Nervous System","2013",6.3,7.9,7.1
"70","New Jersey",2.4,3.4,2.9,"157","Mortality",4538032,"All Races","Female","Brain and Other Nervous System","2013",2.9,4,3.5
"71","New Jersey",5.2,6.6,5.9,"301","Incidence",4540537,"All Races","Female","Brain and Other Nervous System","2014",5.9,7.4,6.6
"72","New Jersey",2.9,3.9,3.4,"192","Mortality",4540537,"All Races","Female","Brain and Other Nervous System","2014",3.7,4.9,4.2
"73","New Jersey",5.3,6.6,5.9,"309","Incidence",4541567,"All Races","Female","Brain and Other Nervous System","2015",6.1,7.6,6.8
"74","New Jersey",2.9,3.9,3.4,"187","Mortality",4541567,"All Races","Female","Brain and Other Nervous System","2015",3.5,4.8,4.1
"75","New Jersey",4.9,6.3,5.6,"291","Incidence",4540927,"All Races","Female","Brain and Other Nervous System","2016",5.7,7.2,6.4
"76","New Jersey",3.3,4.4,3.8,"221","Mortality",4540927,"All Races","Female","Brain and Other Nervous System","2016",4.2,5.6,4.9
"77","New Jersey",5.2,6.6,5.9,"314","Incidence",4546951,"All Races","Female","Brain and Other Nervous System","2017",6.2,7.7,6.9
"78","New Jersey",2.9,3.9,3.4,"200","Mortality",4546951,"All Races","Female","Brain and Other Nervous System","2017",3.8,5.1,4.4
"79","New Jersey",5.5,6.9,6.2,"331","Incidence",4545338,"All Races","Female","Brain and Other Nervous System","2018",6.5,8.1,7.3
"80","New Jersey",3,4,3.4,"204","Mortality",4545338,"All Races","Female","Brain and Other Nervous System","2018",3.9,5.1,4.5
"81","New Jersey",9.7,11.7,10.7,"488","Incidence",4304271,"All Races","Female","Cervix","1999",10.4,12.4,11.3
"82","New Jersey",2.7,3.7,3.2,"152","Mortality",4304271,"All Races","Female","Cervix","1999",3,4.1,3.5
"83","New Jersey",9.1,11,10,"467","Incidence",4340112,"All Races","Female","Cervix","2000",9.8,11.8,10.8
"84","New Jersey",2.3,3.3,2.8,"132","Mortality",4340112,"All Races","Female","Cervix","2000",2.5,3.6,3
"85","New Jersey",9.4,11.3,10.3,"478","Incidence",4369932,"All Races","Female","Cervix","2001",10,12,10.9
"86","New Jersey",2.6,3.6,3.1,"150","Mortality",4369932,"All Races","Female","Cervix","2001",2.9,4,3.4
"87","New Jersey",8.4,10.1,9.2,"435","Incidence",4398801,"All Races","Female","Cervix","2002",9,10.9,9.9
"88","New Jersey",2,2.8,2.4,"116","Mortality",4398801,"All Races","Female","Cervix","2002",2.2,3.2,2.6
"89","New Jersey",8.8,10.6,9.7,"457","Incidence",4421964,"All Races","Female","Cervix","2003",9.4,11.3,10.3
"90","New Jersey",2.3,3.3,2.7,"136","Mortality",4421964,"All Races","Female","Cervix","2003",2.6,3.6,3.1
"91","New Jersey",8.7,10.5,9.5,"455","Incidence",4436964,"All Races","Female","Cervix","2004",9.3,11.2,10.3
"92","New Jersey",2.2,3.1,2.6,"131","Mortality",4436964,"All Races","Female","Cervix","2004",2.5,3.5,3
"93","New Jersey",7.8,9.5,8.6,"412","Incidence",4443545,"All Races","Female","Cervix","2005",8.4,10.2,9.3
"94","New Jersey",2.2,3.1,2.6,"132","Mortality",4443545,"All Races","Female","Cervix","2005",2.5,3.5,3
"95","New Jersey",8.7,10.5,9.6,"457","Incidence",4448099,"All Races","Female","Cervix","2006",9.4,11.3,10.3
"96","New Jersey",2.4,3.4,2.9,"148","Mortality",4448099,"All Races","Female","Cervix","2006",2.8,3.9,3.3
"97","New Jersey",8.5,10.3,9.3,"446","Incidence",4455148,"All Races","Female","Cervix","2007",9.1,11,10
"98","New Jersey",1.7,2.5,2.1,"103","Mortality",4455148,"All Races","Female","Cervix","2007",1.9,2.8,2.3
"99","New Jersey",7.4,9.1,8.2,"394","Incidence",4469901,"All Races","Female","Cervix","2008",8,9.7,8.8
"100","New Jersey",1.7,2.5,2.1,"104","Mortality",4469901,"All Races","Female","Cervix","2008",1.9,2.8,2.3
"101","New Jersey",8,9.7,8.8,"429","Incidence",4493506,"All Races","Female","Cervix","2009",8.7,10.5,9.5
"102","New Jersey",2.1,3,2.5,"130","Mortality",4493506,"All Races","Female","Cervix","2009",2.4,3.4,2.9
"103","New Jersey",7.3,9,8.1,"400","Incidence",4515647,"All Races","Female","Cervix","2010",8,9.8,8.9
"104","New Jersey",2,2.9,2.4,"125","Mortality",4515647,"All Races","Female","Cervix","2010",2.3,3.3,2.8
"105","New Jersey",7.1,8.7,7.8,"390","Incidence",4527433,"All Races","Female","Cervix","2011",7.8,9.5,8.6
"106","New Jersey",2.2,3.1,2.6,"137","Mortality",4527433,"All Races","Female","Cervix","2011",2.5,3.6,3
"107","New Jersey",6.5,8.1,7.3,"366","Incidence",4534238,"All Races","Female","Cervix","2012",7.3,8.9,8.1
"108","New Jersey",1.9,2.8,2.3,"126","Mortality",4534238,"All Races","Female","Cervix","2012",2.3,3.3,2.8
"109","New Jersey",6.7,8.3,7.4,"368","Incidence",4538032,"All Races","Female","Cervix","2013",7.3,9,8.1
"110","New Jersey",1.5,2.3,1.9,"104","Mortality",4538032,"All Races","Female","Cervix","2013",1.9,2.8,2.3
"111","New Jersey",6.8,8.4,7.6,"374","Incidence",4540537,"All Races","Female","Cervix","2014",7.4,9.1,8.2
"112","New Jersey",1.6,2.3,1.9,"110","Mortality",4540537,"All Races","Female","Cervix","2014",2,2.9,2.4
"113","New Jersey",7.6,9.3,8.4,"422","Incidence",4541567,"All Races","Female","Cervix","2015",8.4,10.2,9.3
"114","New Jersey",1.6,2.4,2,"114","Mortality",4541567,"All Races","Female","Cervix","2015",2.1,3,2.5
"115","New Jersey",6.8,8.5,7.6,"372","Incidence",4540927,"All Races","Female","Cervix","2016",7.4,9.1,8.2
"116","New Jersey",2,2.9,2.4,"136","Mortality",4540927,"All Races","Female","Cervix","2016",2.5,3.5,3
"117","New Jersey",6.9,8.5,7.6,"382","Incidence",4546951,"All Races","Female","Cervix","2017",7.6,9.3,8.4
"118","New Jersey",1.7,2.4,2,"114","Mortality",4546951,"All Races","Female","Cervix","2017",2.1,3,2.5
"119","New Jersey",7.3,8.9,8.1,"394","Incidence",4545338,"All Races","Female","Cervix","2018",7.8,9.6,8.7
"120","New Jersey",1.6,2.4,2,"112","Mortality",4545338,"All Races","Female","Cervix","2018",2,3,2.5
"121","New Jersey",51,55,53,"2715","Incidence",4304271,"All Races","Female","Colon and Rectum","1999",60.7,65.5,63.1
"122","New Jersey",18.6,21.1,19.8,"1054","Mortality",4304271,"All Races","Female","Colon and Rectum","1999",23,26,24.5
"123","New Jersey",51.7,55.7,53.7,"2789","Incidence",4340112,"All Races","Female","Colon and Rectum","2000",61.9,66.7,64.3
"124","New Jersey",18,20.3,19.1,"1032","Mortality",4340112,"All Races","Female","Colon and Rectum","2000",22.3,25.3,23.8
"125","New Jersey",52.8,56.9,54.8,"2857","Incidence",4369932,"All Races","Female","Colon and Rectum","2001",63,67.8,65.4
"126","New Jersey",18.5,20.9,19.7,"1068","Mortality",4369932,"All Races","Female","Colon and Rectum","2001",23,26,24.4
"127","New Jersey",51.2,55.2,53.2,"2806","Incidence",4398801,"All Races","Female","Colon and Rectum","2002",61.5,66.2,63.8
"128","New Jersey",16.9,19.2,18,"987","Mortality",4398801,"All Races","Female","Colon and Rectum","2002",21.1,23.9,22.4
"129","New Jersey",47.8,51.7,49.7,"2651","Incidence",4421964,"All Races","Female","Colon and Rectum","2003",57.7,62.3,60
"130","New Jersey",18.2,20.5,19.3,"1067","Mortality",4421964,"All Races","Female","Colon and Rectum","2003",22.7,25.6,24.1
"131","New Jersey",45.3,49,47.1,"2522","Incidence",4436964,"All Races","Female","Colon and Rectum","2004",54.6,59.1,56.8
"132","New Jersey",15.5,17.6,16.5,"924","Mortality",4436964,"All Races","Female","Colon and Rectum","2004",19.5,22.2,20.8
"133","New Jersey",46,49.8,47.9,"2587","Incidence",4443545,"All Races","Female","Colon and Rectum","2005",56,60.5,58.2
"134","New Jersey",15.4,17.5,16.4,"924","Mortality",4443545,"All Races","Female","Colon and Rectum","2005",19.5,22.2,20.8
"135","New Jersey",43.7,47.3,45.5,"2458","Incidence",4448099,"All Races","Female","Colon and Rectum","2006",53.1,57.5,55.3
"136","New Jersey",15.1,17.2,16.1,"917","Mortality",4448099,"All Races","Female","Colon and Rectum","2006",19.3,22,20.6
"137","New Jersey",41,44.6,42.8,"2338","Incidence",4455148,"All Races","Female","Colon and Rectum","2007",50.4,54.6,52.5
"138","New Jersey",14.6,16.7,15.7,"896","Mortality",4455148,"All Races","Female","Colon and Rectum","2007",18.8,21.5,20.1
"139","New Jersey",39.4,42.8,41.1,"2290","Incidence",4469901,"All Races","Female","Colon and Rectum","2008",49.2,53.4,51.2
"140","New Jersey",14,16.1,15,"868","Mortality",4469901,"All Races","Female","Colon and Rectum","2008",18.1,20.8,19.4
"141","New Jersey",38.4,41.8,40.1,"2256","Incidence",4493506,"All Races","Female","Colon and Rectum","2009",48.2,52.3,50.2
"142","New Jersey",13.1,15.1,14,"826","Mortality",4493506,"All Races","Female","Colon and Rectum","2009",17.1,19.7,18.4
"143","New Jersey",37.7,41.1,39.4,"2231","Incidence",4515647,"All Races","Female","Colon and Rectum","2010",47.4,51.5,49.4
"144","New Jersey",12.8,14.8,13.8,"829","Mortality",4515647,"All Races","Female","Colon and Rectum","2010",17.1,19.7,18.4
"145","New Jersey",37.5,40.8,39.1,"2238","Incidence",4527433,"All Races","Female","Colon and Rectum","2011",47.4,51.5,49.4
"146","New Jersey",12.1,14,13,"786","Mortality",4527433,"All Races","Female","Colon and Rectum","2011",16.2,18.6,17.4
"147","New Jersey",36.8,40.1,38.5,"2227","Incidence",4534238,"All Races","Female","Colon and Rectum","2012",47.1,51.2,49.1
"148","New Jersey",12.2,14,13.1,"804","Mortality",4534238,"All Races","Female","Colon and Rectum","2012",16.5,19,17.7
"149","New Jersey",35,38.2,36.6,"2139","Incidence",4538032,"All Races","Female","Colon and Rectum","2013",45.2,49.2,47.1
"150","New Jersey",11.5,13.3,12.4,"769","Mortality",4538032,"All Races","Female","Colon and Rectum","2013",15.8,18.2,16.9
"151","New Jersey",35.5,38.7,37,"2193","Incidence",4540537,"All Races","Female","Colon and Rectum","2014",46.3,50.4,48.3
"152","New Jersey",10.9,12.6,11.7,"753","Mortality",4540537,"All Races","Female","Colon and Rectum","2014",15.4,17.8,16.6
"153","New Jersey",33.5,36.7,35.1,"2067","Incidence",4541567,"All Races","Female","Colon and Rectum","2015",43.6,47.5,45.5
"154","New Jersey",10.6,12.4,11.5,"728","Mortality",4541567,"All Races","Female","Colon and Rectum","2015",14.9,17.2,16
"155","New Jersey",34.8,37.9,36.3,"2148","Incidence",4540927,"All Races","Female","Colon and Rectum","2016",45.3,49.3,47.3
"156","New Jersey",11.4,13.2,12.3,"780","Mortality",4540927,"All Races","Female","Colon and Rectum","2016",16,18.4,17.2
"157","New Jersey",33.6,36.8,35.2,"2104","Incidence",4546951,"All Races","Female","Colon and Rectum","2017",44.3,48.3,46.3
"158","New Jersey",10.9,12.7,11.8,"754","Mortality",4546951,"All Races","Female","Colon and Rectum","2017",15.4,17.8,16.6
"159","New Jersey",32,35,33.4,"2033","Incidence",4545338,"All Races","Female","Colon and Rectum","2018",42.8,46.7,44.7
"160","New Jersey",9.8,11.4,10.6,"705","Mortality",4545338,"All Races","Female","Colon and Rectum","2018",14.4,16.7,15.5
"161","New Jersey",28.3,31.4,29.8,"1420","Incidence",4304271,"All Races","Female","Corpus and Uterus, NOS","1999",31.3,34.8,33
"162","New Jersey",3.9,5.1,4.5,"226","Mortality",4304271,"All Races","Female","Corpus and Uterus, NOS","1999",4.6,6,5.3
"163","New Jersey",27.1,30.1,28.5,"1385","Incidence",4340112,"All Races","Female","Corpus and Uterus, NOS","2000",30.3,33.6,31.9
"164","New Jersey",4.5,5.8,5.1,"263","Mortality",4340112,"All Races","Female","Corpus and Uterus, NOS","2000",5.3,6.8,6.1
"165","New Jersey",28.6,31.7,30.1,"1470","Incidence",4369932,"All Races","Female","Corpus and Uterus, NOS","2001",31.9,35.4,33.6
"166","New Jersey",4.9,6.2,5.6,"289","Mortality",4369932,"All Races","Female","Corpus and Uterus, NOS","2001",5.9,7.4,6.6
"167","New Jersey",27.2,30.2,28.6,"1423","Incidence",4398801,"All Races","Female","Corpus and Uterus, NOS","2002",30.7,34.1,32.3
"168","New Jersey",4.7,6,5.3,"277","Mortality",4398801,"All Races","Female","Corpus and Uterus, NOS","2002",5.6,7.1,6.3
"169","New Jersey",26.1,29,27.5,"1382","Incidence",4421964,"All Races","Female","Corpus and Uterus, NOS","2003",29.6,32.9,31.3
"170","New Jersey",4.5,5.7,5,"269","Mortality",4421964,"All Races","Female","Corpus and Uterus, NOS","2003",5.4,6.9,6.1
"171","New Jersey",26.2,29.1,27.6,"1407","Incidence",4436964,"All Races","Female","Corpus and Uterus, NOS","2004",30.1,33.4,31.7
"172","New Jersey",4.4,5.6,5,"263","Mortality",4436964,"All Races","Female","Corpus and Uterus, NOS","2004",5.2,6.7,5.9
"173","New Jersey",28.4,31.4,29.8,"1527","Incidence",4443545,"All Races","Female","Corpus and Uterus, NOS","2005",32.7,36.1,34.4
"174","New Jersey",4.5,5.7,5.1,"273","Mortality",4443545,"All Races","Female","Corpus and Uterus, NOS","2005",5.4,6.9,6.1
"175","New Jersey",28.7,31.7,30.2,"1563","Incidence",4448099,"All Races","Female","Corpus and Uterus, NOS","2006",33.4,36.9,35.1
"176","New Jersey",4.9,6.2,5.5,"299","Mortality",4448099,"All Races","Female","Corpus and Uterus, NOS","2006",6,7.5,6.7
"177","New Jersey",28.7,31.7,30.2,"1596","Incidence",4455148,"All Races","Female","Corpus and Uterus, NOS","2007",34.1,37.6,35.8
"178","New Jersey",4.5,5.8,5.1,"276","Mortality",4455148,"All Races","Female","Corpus and Uterus, NOS","2007",5.5,7,6.2
"179","New Jersey",28.3,31.2,29.7,"1595","Incidence",4469901,"All Races","Female","Corpus and Uterus, NOS","2008",34,37.5,35.7
"180","New Jersey",4.4,5.6,5,"277","Mortality",4469901,"All Races","Female","Corpus and Uterus, NOS","2008",5.5,7,6.2
"181","New Jersey",29.3,32.3,30.7,"1678","Incidence",4493506,"All Races","Female","Corpus and Uterus, NOS","2009",35.6,39.2,37.3
"182","New Jersey",4.5,5.7,5.1,"285","Mortality",4493506,"All Races","Female","Corpus and Uterus, NOS","2009",5.6,7.1,6.3
"183","New Jersey",29.1,32.1,30.5,"1682","Incidence",4515647,"All Races","Female","Corpus and Uterus, NOS","2010",35.5,39.1,37.2
"184","New Jersey",5.4,6.8,6.1,"346","Mortality",4515647,"All Races","Female","Corpus and Uterus, NOS","2010",6.9,8.5,7.7
"185","New Jersey",28.5,31.4,29.9,"1670","Incidence",4527433,"All Races","Female","Corpus and Uterus, NOS","2011",35.1,38.7,36.9
"186","New Jersey",4.7,6,5.3,"307","Mortality",4527433,"All Races","Female","Corpus and Uterus, NOS","2011",6,7.6,6.8
"187","New Jersey",29.8,32.8,31.3,"1786","Incidence",4534238,"All Races","Female","Corpus and Uterus, NOS","2012",37.6,41.3,39.4
"188","New Jersey",4.6,5.8,5.1,"299","Mortality",4534238,"All Races","Female","Corpus and Uterus, NOS","2012",5.9,7.4,6.6
"189","New Jersey",31,34,32.4,"1898","Incidence",4538032,"All Races","Female","Corpus and Uterus, NOS","2013",40,43.7,41.8
"190","New Jersey",5.1,6.3,5.6,"336","Mortality",4538032,"All Races","Female","Corpus and Uterus, NOS","2013",6.6,8.2,7.4
"191","New Jersey",30.8,33.8,32.3,"1891","Incidence",4540537,"All Races","Female","Corpus and Uterus, NOS","2014",39.8,43.6,41.6
"192","New Jersey",5.9,7.2,6.5,"391","Mortality",4540537,"All Races","Female","Corpus and Uterus, NOS","2014",7.8,9.5,8.6
"193","New Jersey",30.1,33,31.5,"1904","Incidence",4541567,"All Races","Female","Corpus and Uterus, NOS","2015",40.1,43.9,41.9
"194","New Jersey",4.8,6,5.4,"336","Mortality",4541567,"All Races","Female","Corpus and Uterus, NOS","2015",6.6,8.2,7.4
"195","New Jersey",30.1,33.1,31.6,"1903","Incidence",4540927,"All Races","Female","Corpus and Uterus, NOS","2016",40,43.8,41.9
"196","New Jersey",5,6.2,5.6,"346","Mortality",4540927,"All Races","Female","Corpus and Uterus, NOS","2016",6.8,8.5,7.6
"197","New Jersey",30.7,33.7,32.2,"1990","Incidence",4546951,"All Races","Female","Corpus and Uterus, NOS","2017",41.9,45.7,43.8
"198","New Jersey",5.3,6.6,5.9,"371","Mortality",4546951,"All Races","Female","Corpus and Uterus, NOS","2017",7.4,9,8.2
"199","New Jersey",32,34.9,33.4,"2063","Incidence",4545338,"All Races","Female","Corpus and Uterus, NOS","2018",43.4,47.4,45.4
"200","New Jersey",5.4,6.6,6,"387","Mortality",4545338,"All Races","Female","Corpus and Uterus, NOS","2018",7.7,9.4,8.5
"201","New Jersey",2.1,2.9,2.5,"127","Incidence",4304271,"All Races","Female","Esophagus","1999",2.5,3.5,3
"202","New Jersey",1.6,2.4,2,"103","Mortality",4304271,"All Races","Female","Esophagus","1999",2,2.9,2.4
"203","New Jersey",1.9,2.8,2.3,"119","Incidence",4340112,"All Races","Female","Esophagus","2000",2.3,3.3,2.7
"204","New Jersey",1.6,2.3,1.9,"100","Mortality",4340112,"All Races","Female","Esophagus","2000",1.9,2.8,2.3
"205","New Jersey",2.1,3,2.6,"129","Incidence",4369932,"All Races","Female","Esophagus","2001",2.5,3.5,3
"206","New Jersey",1.4,2.2,1.8,"92","Mortality",4369932,"All Races","Female","Esophagus","2001",1.7,2.6,2.1
"207","New Jersey",2,2.9,2.4,"126","Incidence",4398801,"All Races","Female","Esophagus","2002",2.4,3.4,2.9
"208","New Jersey",1.6,2.4,2,"105","Mortality",4398801,"All Races","Female","Esophagus","2002",2,2.9,2.4
"209","New Jersey",2.1,3,2.5,"134","Incidence",4421964,"All Races","Female","Esophagus","2003",2.5,3.6,3
"210","New Jersey",1.4,2.2,1.8,"93","Mortality",4421964,"All Races","Female","Esophagus","2003",1.7,2.6,2.1
