county,race,rate,ci_lower,ci_upper,moe,rse,risk_factor,gender
Sussex,White,0.571,0.52,0.621,0.051,0.061,Mammography,Male and Female
Sussex,Other,**,**,**,0.454,0.582,Mammography,Male and Female
Sussex,Hispanic/Latino,0.47,0.308,0.639,0.172,0.186,Mammography,Male and Female
,,,,,,,Mammography,
Union,Asian/Pacific Islander,**,**,**,0.268,0.281,Mammography,Male and Female
Union,Black/African American,0.589,0.506,0.668,0.081,0.101,Mammography,Male and Female
Union,White,0.645,0.586,0.699,0.056,0.081,Mammography,Male and Female
Union,Other,**,**,**,0.187,0.341,Mammography,Male and Female
Union,Hispanic/Latino,0.422,0.339,0.51,0.086,0.104,Mammography,Male and Female
,,,,,,,Mammography,
Warren,Asian/Pacific Islander,**,**,**,0.432,0.444,Mammography,Male and Female
Warren,Black/African American,**,**,**,0.369,0.532,Mammography,Male and Female
Warren,White,0.556,0.506,0.604,0.049,0.056,Mammography,Male and Female
Warren,Other,**,**,**,0.335,0.356,Mammography,Male and Female
Warren,Hispanic/Latino,**,**,**,0.27,0.338,Mammography,Male and Female
Total,All Races,0.551,0.54,0.561,0.01,0.012,Mammography,Male and Female
Atlantic,All Races,0.568,0.525,0.609,0.042,0.05,Mammography,Male and Female
Bergen,All Races,0.573,0.529,0.615,0.043,0.052,Mammography,Male and Female
Burlington,All Races,0.575,0.532,0.616,0.042,0.05,Mammography,Male and Female
Camden,All Races,0.539,0.499,0.578,0.039,0.043,Mammography,Male and Female
Cape May,All Races,0.594,0.54,0.645,0.053,0.066,Mammography,Male and Female
Cumberland,All Races,0.527,0.483,0.571,0.044,0.047,Mammography,Male and Female
Essex,All Races,0.534,0.501,0.567,0.033,0.036,Mammography,Male and Female
Gloucester,All Races,0.566,0.518,0.614,0.048,0.057,Mammography,Male and Female
Hudson,All Races,0.488,0.45,0.526,0.038,0.04,Mammography,Male and Female
Hunterdon,All Races,0.598,0.542,0.652,0.055,0.07,Mammography,Male and Female
Mercer,All Races,0.522,0.476,0.567,0.046,0.049,Mammography,Male and Female
Middlesex,All Races,0.481,0.44,0.522,0.041,0.044,Mammography,Male and Female
Monmouth,All Races,0.599,0.554,0.642,0.044,0.056,Mammography,Male and Female
Morris,All Races,0.582,0.538,0.626,0.044,0.054,Mammography,Male and Female
Ocean,All Races,0.591,0.55,0.63,0.04,0.05,Mammography,Male and Female
Passaic,All Races,0.556,0.511,0.6,0.044,0.051,Mammography,Male and Female
Salem,All Races,0.542,0.491,0.591,0.05,0.056,Mammography,Male and Female
Somerset,All Races,0.562,0.513,0.611,0.049,0.057,Mammography,Male and Female
Sussex,All Races,0.555,0.507,0.602,0.047,0.054,Mammography,Male and Female
Union,All Races,0.563,0.521,0.604,0.041,0.048,Mammography,Male and Female
Warren,All Races,0.538,0.485,0.59,0.053,0.058,Mammography,Male and Female
,,,,,,,Mammography,
Atlantic,Asian/Pacific Islander,**,**,**,0.268,0.335,Mammography,Female
Atlantic,Black/African American,0.621,0.495,0.732,0.121,0.162,Mammography,Female
Atlantic,White,0.584,0.533,0.634,0.051,0.062,Mammography,Female
Atlantic,Other,**,**,**,0.208,0.215,Mammography,Female
Atlantic,Hispanic/Latino,0.514,0.398,0.629,0.118,0.124,Mammography,Female
,,,,,,,Mammography,
Bergen,Asian/Pacific Islander,**,**,**,0.175,0.181,Mammography,Female
Bergen,Black/African American,0.489,0.348,0.632,0.145,0.152,Mammography,Female
Bergen,White,0.603,0.549,0.655,0.053,0.068,Mammography,Female
Bergen,Other,**,**,**,0.264,0.303,Mammography,Female
Bergen,Hispanic/Latino,0.569,0.464,0.668,0.103,0.122,Mammography,Female
,,,,,,,Mammography,
Burlington,Asian/Pacific Islander,**,**,**,0.289,0.299,Mammography,Female
Burlington,Black/African American,0.555,0.447,0.658,0.107,0.123,Mammography,Female
Burlington,White,0.578,0.53,0.624,0.047,0.057,Mammography,Female
Burlington,Other,**,**,**,0.251,0.286,Mammography,Female
Burlington,Hispanic/Latino,0.611,0.443,0.756,0.161,0.212,Mammography,Female
,,,,,,,Mammography,
Camden,Asian/Pacific Islander,**,**,**,0.296,0.4,Mammography,Female
Camden,Black/African American,0.541,0.446,0.633,0.095,0.105,Mammography,Female
Camden,White,0.565,0.518,0.611,0.047,0.055,Mammography,Female
Camden,Other,**,**,**,0.262,0.273,Mammography,Female
Camden,Hispanic/Latino,0.461,0.341,0.585,0.125,0.138,Mammography,Female
,,,,,,,Mammography,
Cape May,Asian/Pacific Islander,**,**,**,0,.,Mammography,Female
Cape May,Black/African American,**,**,**,0.247,0.262,Mammography,Female
Cape May,White,0.62,0.565,0.672,0.054,0.072,Mammography,Female
Cape May,Other,**,**,**,0.375,0.444,Mammography,Female
Cape May,Hispanic/Latino,**,**,**,0.211,0.25,Mammography,Female
,,,,,,,Mammography,
Cumberland,Asian/Pacific Islander,**,**,**,0.389,0.47,Mammography,Female
Cumberland,Black/African American,0.669,0.551,0.769,0.11,0.17,Mammography,Female
Cumberland,White,0.541,0.483,0.598,0.058,0.064,Mammography,Female
Cumberland,Other,**,**,**,0.179,0.265,Mammography,Female
Cumberland,Hispanic/Latino,0.426,0.334,0.524,0.096,0.115,Mammography,Female
,,,,,,,Mammography,
Essex,Asian/Pacific Islander,**,**,**,0.223,0.27,Mammography,Female
Essex,Black/African American,0.538,0.488,0.587,0.05,0.055,Mammography,Female
Essex,White,0.6,0.544,0.654,0.055,0.07,Mammography,Female
Essex,Other,0.586,0.405,0.746,0.178,0.219,Mammography,Female
Essex,Hispanic/Latino,0.425,0.353,0.5,0.074,0.088,Mammography,Female
,,,,,,,Mammography,
Gloucester,Asian/Pacific Islander,**,**,**,0.362,0.533,Mammography,Female
Gloucester,Black/African American,0.733,0.612,0.828,0.109,0.209,Mammography,Female
Gloucester,White,0.541,0.488,0.593,0.053,0.059,Mammography,Female
Gloucester,Other,**,**,**,0.236,0.545,Mammography,Female
Gloucester,Hispanic/Latino,**,**,**,0.242,0.322,Mammography,Female
,,,,,,,Mammography,
Hudson,Asian/Pacific Islander,0.289,0.185,0.421,0.119,0.211,Mammography,Female
Hudson,Black/African American,0.527,0.431,0.621,0.096,0.104,Mammography,Female
Hudson,White,0.488,0.425,0.552,0.064,0.067,Mammography,Female
Hudson,Other,**,**,**,0.135,0.384,Mammography,Female
Hudson,Hispanic/Latino,0.568,0.506,0.627,0.061,0.072,Mammography,Female
,,,,,,,Mammography,
Hunterdon,Asian/Pacific Islander,**,**,**,0.232,0.438,Mammography,Female
Hunterdon,Black/African American,**,**,**,0.451,0.631,Mammography,Female
Hunterdon,White,0.628,0.571,0.681,0.055,0.076,Mammography,Female
Hunterdon,Other,**,**,**,0.444,0.493,Mammography,Female
Hunterdon,Hispanic/Latino,**,**,**,0.234,0.243,Mammography,Female
,,,,,,,Mammography,
Mercer,Asian/Pacific Islander,0.449,0.29,0.62,0.172,0.195,Mammography,Female
Mercer,Black/African American,0.499,0.399,0.599,0.102,0.104,Mammography,Female
Mercer,White,0.587,0.524,0.648,0.062,0.077,Mammography,Female
Mercer,Other,**,**,**,0.281,0.295,Mammography,Female
Mercer,Hispanic/Latino,0.351,0.248,0.47,0.113,0.164,Mammography,Female
,,,,,,,Mammography,
Middlesex,Asian/Pacific Islander,0.272,0.192,0.369,0.089,0.167,Mammography,Female
Middlesex,Black/African American,0.492,0.366,0.619,0.129,0.134,Mammography,Female
Middlesex,White,0.614,0.562,0.664,0.051,0.068,Mammography,Female
Middlesex,Other,**,**,**,0.192,0.447,Mammography,Female
Middlesex,Hispanic/Latino,0.413,0.315,0.519,0.103,0.128,Mammography,Female
,,,,,,,Mammography,
Monmouth,Asian/Pacific Islander,**,**,**,0.231,0.322,Mammography,Female
Monmouth,Black/African American,0.676,0.51,0.807,0.153,0.241,Mammography,Female
Monmouth,White,0.611,0.562,0.657,0.048,0.062,Mammography,Female
Monmouth,Other,**,**,**,0.126,0.58,Mammography,Female
Monmouth,Hispanic/Latino,0.451,0.299,0.612,0.162,0.183,Mammography,Female
,,,,,,,Mammography,
Morris,Asian/Pacific Islander,**,**,**,0.186,0.194,Mammography,Female
Morris,Black/African American,**,**,**,0.249,0.265,Mammography,Female
Morris,White,0.615,0.566,0.663,0.049,0.065,Mammography,Female
Morris,Other,**,**,**,0.216,0.65,Mammography,Female
Morris,Hispanic/Latino,0.518,0.381,0.653,0.139,0.148,Mammography,Female
,,,,,,,Mammography,
Ocean,Asian/Pacific Islander,**,**,**,0.402,0.869,Mammography,Female
Ocean,Black/African American,**,**,**,0.365,0.399,Mammography,Female
Ocean,White,0.609,0.566,0.65,0.042,0.055,Mammography,Female
Ocean,Other,**,**,**,0.296,0.362,Mammography,Female
Ocean,Hispanic/Latino,0.42,0.282,0.572,0.149,0.181,Mammography,Female
,,,,,,,Mammography,
Passaic,Asian/Pacific Islander,**,**,**,0.297,0.346,Mammography,Female
Passaic,Black/African American,0.583,0.447,0.707,0.132,0.162,Mammography,Female
Passaic,White,0.56,0.496,0.622,0.063,0.074,Mammography,Female
Passaic,Other,**,**,**,0.309,0.405,Mammography,Female
Passaic,Hispanic/Latino,0.541,0.469,0.612,0.072,0.081,Mammography,Female
,,,,,,,Mammography,
Salem,Asian/Pacific Islander,**,**,**,0,.,Mammography,Female
Salem,Black/African American,0.526,0.39,0.658,0.138,0.148,Mammography,Female
Salem,White,0.579,0.527,0.629,0.051,0.062,Mammography,Female
Salem,Other,**,**,**,0.267,0.361,Mammography,Female
Salem,Hispanic/Latino,**,**,**,0.202,0.322,Mammography,Female
,,,,,,,Mammography,
Somerset,Asian/Pacific Islander,0.436,0.303,0.58,0.142,0.167,Mammography,Female
Somerset,Black/African American,0.579,0.407,0.734,0.17,0.206,Mammography,Female
Somerset,White,0.622,0.561,0.679,0.059,0.08,Mammography,Female
Somerset,Other,**,**,**,0.18,0.501,Mammography,Female
Somerset,Hispanic/Latino,0.398,0.269,0.543,0.141,0.18,Mammography,Female
,,,,,,,Mammography,
Sussex,Asian/Pacific Islander,**,**,**,0.388,0.411,Mammography,Female
Sussex,Black/African American,**,**,**,0.194,0.413,Mammography,Female
Sussex,White,0.571,0.52,0.621,0.051,0.061,Mammography,Female
Sussex,Other,**,**,**,0.454,0.582,Mammography,Female
Sussex,Hispanic/Latino,0.47,0.308,0.639,0.172,0.186,Mammography,Female
,,,,,,,Mammography,
Union,Asian/Pacific Islander,**,**,**,0.268,0.281,Mammography,Female
Union,Black/African American,0.589,0.506,0.668,0.081,0.101,Mammography,Female
Union,White,0.645,0.586,0.699,0.056,0.081,Mammography,Female
Union,Other,**,**,**,0.187,0.341,Mammography,Female
Union,Hispanic/Latino,0.422,0.339,0.51,0.086,0.104,Mammography,Female
,,,,,,,Mammography,
Warren,Asian/Pacific Islander,**,**,**,0.432,0.444,Mammography,Female
Warren,Black/African American,**,**,**,0.369,0.532,Mammography,Female
Warren,White,0.556,0.506,0.604,0.049,0.056,Mammography,Female
Warren,Other,**,**,**,0.335,0.356,Mammography,Female
Warren,Hispanic/Latino,**,**,**,0.27,0.338,Mammography,Female
Total,All Races,0.551,0.54,0.561,0.01,0.012,Mammography,Female
Atlantic,All Races,0.568,0.525,0.609,0.042,0.05,Mammography,Female
Bergen,All Races,0.573,0.529,0.615,0.043,0.052,Mammography,Female
Burlington,All Races,0.575,0.532,0.616,0.042,0.05,Mammography,Female
Camden,All Races,0.539,0.499,0.578,0.039,0.043,Mammography,Female
Cape May,All Races,0.594,0.54,0.645,0.053,0.066,Mammography,Female
Cumberland,All Races,0.527,0.483,0.571,0.044,0.047,Mammography,Female
Essex,All Races,0.534,0.501,0.567,0.033,0.036,Mammography,Female
Gloucester,All Races,0.566,0.518,0.614,0.048,0.057,Mammography,Female
Hudson,All Races,0.488,0.45,0.526,0.038,0.04,Mammography,Female
Hunterdon,All Races,0.598,0.542,0.652,0.055,0.07,Mammography,Female
Mercer,All Races,0.522,0.476,0.567,0.046,0.049,Mammography,Female
Middlesex,All Races,0.481,0.44,0.522,0.041,0.044,Mammography,Female
Monmouth,All Races,0.599,0.554,0.642,0.044,0.056,Mammography,Female
Morris,All Races,0.582,0.538,0.626,0.044,0.054,Mammography,Female
Ocean,All Races,0.591,0.55,0.63,0.04,0.05,Mammography,Female
Passaic,All Races,0.556,0.511,0.6,0.044,0.051,Mammography,Female
Salem,All Races,0.542,0.491,0.591,0.05,0.056,Mammography,Female
Somerset,All Races,0.562,0.513,0.611,0.049,0.057,Mammography,Female
Sussex,All Races,0.555,0.507,0.602,0.047,0.054,Mammography,Female
Union,All Races,0.563,0.521,0.604,0.041,0.048,Mammography,Female
Warren,All Races,0.538,0.485,0.59,0.053,0.058,Mammography,Female
Atlantic,Asian/Pacific Islander,**,**,**,0.772,0.659,Colorectal Screening,Male and Female
Atlantic,Black/African American,0.686,0.785,0.567,0.89,0.821,Colorectal Screening,Male and Female
Atlantic,White,0.687,0.726,0.645,0.96,0.934,Colorectal Screening,Male and Female
Atlantic,Other,**,**,**,0.761,0.703,Colorectal Screening,Male and Female
Atlantic,Hispanic/Latino,0.486,0.629,0.344,0.853,0.846,Colorectal Screening,Male and Female
Bergen,Asian/Pacific Islander,**,**,**,0.815,0.722,Colorectal Screening,Male and Female
Bergen,Black/African American,**,**,**,0.84,0.652,Colorectal Screening,Male and Female
Bergen,White,0.696,0.741,0.647,0.953,0.921,Colorectal Screening,Male and Female
Bergen,Other,**,**,**,0.814,0.752,Colorectal Screening,Male and Female
Bergen,Hispanic/Latino,0.555,0.679,0.425,0.87,0.851,Colorectal Screening,Male and Female
Burlington,Asian/Pacific Islander,**,**,**,0.749,0.678,Colorectal Screening,Male and Female
Burlington,Black/African American,0.829,0.895,0.735,0.921,0.762,Colorectal Screening,Male and Female
Burlington,White,0.694,0.733,0.653,0.96,0.933,Colorectal Screening,Male and Female
Burlington,Other,**,**,**,0.766,0.596,Colorectal Screening,Male and Female
Burlington,Hispanic/Latino,**,**,**,0.825,0.789,Colorectal Screening,Male and Female
Camden,Asian/Pacific Islander,**,**,**,0.712,0.597,Colorectal Screening,Male and Female
Camden,Black/African American,0.649,0.751,0.533,0.889,0.839,Colorectal Screening,Male and Female
Camden,White,0.714,0.753,0.673,0.96,0.928,Colorectal Screening,Male and Female
Camden,Other,**,**,**,0.743,0.601,Colorectal Screening,Male and Female
Camden,Hispanic/Latino,0.59,0.75,0.409,0.822,0.779,Colorectal Screening,Male and Female
Cape May,Asian/Pacific Islander,**,**,**,1,**,Colorectal Screening,Male and Female
Cape May,Black/African American,**,**,**,0.801,0.716,Colorectal Screening,Male and Female
Cape May,White,0.649,0.694,0.602,0.954,0.933,Colorectal Screening,Male and Female
Cape May,Other,**,**,**,0.786,0.495,Colorectal Screening,Male and Female
Cape May,Hispanic/Latino,**,**,**,0.594,0.508,Colorectal Screening,Male and Female
Cumberland,Asian/Pacific Islander,**,**,**,0.862,0.294,Colorectal Screening,Male and Female
Cumberland,Black/African American,0.675,0.786,0.54,0.875,0.804,Colorectal Screening,Male and Female
Cumberland,White,0.614,0.664,0.561,0.948,0.932,Colorectal Screening,Male and Female
Cumberland,Other,**,**,**,0.781,0.76,Colorectal Screening,Male and Female
Cumberland,Hispanic/Latino,0.587,0.702,0.461,0.877,0.848,Colorectal Screening,Male and Female
Essex,Asian/Pacific Islander,**,**,**,0.793,0.63,Colorectal Screening,Male and Female
Essex,Black/African American,0.641,0.693,0.586,0.946,0.924,Colorectal Screening,Male and Female
Essex,White,0.707,0.751,0.659,0.954,0.92,Colorectal Screening,Male and Female
Essex,Other,**,**,**,0.844,0.746,Colorectal Screening,Male and Female
Essex,Hispanic/Latino,0.588,0.682,0.487,0.901,0.878,Colorectal Screening,Male and Female
Gloucester,Asian/Pacific Islander,**,**,**,0.661,0.448,Colorectal Screening,Male and Female
Gloucester,Black/African American,0.758,0.866,0.604,0.868,0.72,Colorectal Screening,Male and Female
Gloucester,White,0.66,0.7,0.616,0.958,0.937,Colorectal Screening,Male and Female
Gloucester,Other,**,**,**,0.728,0.46,Colorectal Screening,Male and Female
Gloucester,Hispanic/Latino,**,**,**,0.703,0.569,Colorectal Screening,Male and Female
Hudson,Asian/Pacific Islander,**,**,**,0.804,0.787,Colorectal Screening,Male and Female
Hudson,Black/African American,0.606,0.705,0.497,0.895,0.864,Colorectal Screening,Male and Female
Hudson,White,0.656,0.71,0.597,0.943,0.916,Colorectal Screening,Male and Female
Hudson,Other,**,**,**,0.794,0.582,Colorectal Screening,Male and Female
Hudson,Hispanic/Latino,0.645,0.718,0.565,0.923,0.89,Colorectal Screening,Male and Female
Hunterdon,Asian/Pacific Islander,**,**,**,0.842,0.407,Colorectal Screening,Male and Female
Hunterdon,Black/African American,**,**,**,0.783,0.47,Colorectal Screening,Male and Female
Hunterdon,White,0.69,0.73,0.646,0.958,0.931,Colorectal Screening,Male and Female
Hunterdon,Other,**,**,**,0.871,-0.118,Colorectal Screening,Male and Female
Hunterdon,Hispanic/Latino,**,**,**,0.914,0.4,Colorectal Screening,Male and Female
Mercer,Asian/Pacific Islander,**,**,**,0.808,0.76,Colorectal Screening,Male and Female
Mercer,Black/African American,0.723,0.808,0.617,0.904,0.822,Colorectal Screening,Male and Female
Mercer,White,0.72,0.761,0.675,0.957,0.921,Colorectal Screening,Male and Female
Mercer,Other,**,**,**,0.759,0.485,Colorectal Screening,Male and Female
Mercer,Hispanic/Latino,**,**,**,0.808,0.796,Colorectal Screening,Male and Female
Middlesex,Asian/Pacific Islander,**,**,**,0.848,0.814,Colorectal Screening,Male and Female
Middlesex,Black/African American,0.781,0.883,0.627,0.871,0.7,Colorectal Screening,Male and Female
Middlesex,White,0.646,0.692,0.597,0.952,0.931,Colorectal Screening,Male and Female
Middlesex,Other,**,**,**,0.712,0.544,Colorectal Screening,Male and Female
Middlesex,Hispanic/Latino,0.578,0.708,0.437,0.861,0.832,Colorectal Screening,Male and Female
Monmouth,Asian/Pacific Islander,**,**,**,0.763,0.686,Colorectal Screening,Male and Female
Monmouth,Black/African American,**,**,**,0.822,0.789,Colorectal Screening,Male and Female
Monmouth,White,0.686,0.725,0.643,0.959,0.933,Colorectal Screening,Male and Female
Monmouth,Other,**,**,**,0.708,0.601,Colorectal Screening,Male and Female
Monmouth,Hispanic/Latino,**,**,**,0.86,0.723,Colorectal Screening,Male and Female
Morris,Asian/Pacific Islander,**,**,**,0.806,0.671,Colorectal Screening,Male and Female
Morris,Black/African American,**,**,**,0.718,0.676,Colorectal Screening,Male and Female
Morris,White,0.703,0.743,0.66,0.958,0.928,Colorectal Screening,Male and Female
Morris,Other,**,**,**,0.758,0.227,Colorectal Screening,Male and Female
Morris,Hispanic/Latino,0.742,0.837,0.617,0.889,0.78,Colorectal Screening,Male and Female
Ocean,Asian/Pacific Islander,**,**,**,1,**,Colorectal Screening,Male and Female
Ocean,Black/African American,**,**,**,0.762,0.548,Colorectal Screening,Male and Female
Ocean,White,0.667,0.705,0.626,0.96,0.939,Colorectal Screening,Male and Female
Ocean,Other,**,**,**,1,**,Colorectal Screening,Male and Female
Ocean,Hispanic/Latino,**,**,**,0.803,0.749,Colorectal Screening,Male and Female
Passaic,Asian/Pacific Islander,**,**,**,0.761,0.722,Colorectal Screening,Male and Female
Passaic,Black/African American,0.562,0.688,0.427,0.866,0.844,Colorectal Screening,Male and Female
Passaic,White,0.63,0.686,0.57,0.942,0.92,Colorectal Screening,Male and Female
Passaic,Other,**,**,**,0.67,0.635,Colorectal Screening,Male and Female
Passaic,Hispanic/Latino,0.574,0.663,0.481,0.908,0.89,Colorectal Screening,Male and Female
Salem,Asian/Pacific Islander,**,**,**,1,**,Colorectal Screening,Male and Female
Salem,Black/African American,0.764,0.846,0.657,0.905,0.795,Colorectal Screening,Male and Female
Salem,White,0.617,0.659,0.573,0.957,0.943,Colorectal Screening,Male and Female
Salem,Other,**,**,**,0.71,0.688,Colorectal Screening,Male and Female
