SEMS EPA ID,Facility Information,SITE NAME,ADDRESS,COUNTY,FEDERAL FACILITY,NPL STATUS,NON-NPL STATUS,LATITUDE,LONGITUDE,lat,lon
NJD980505416,View Facility Information,LIPARI LANDFILL,"RT 322PITMAN, NJ  08071",GLOUCESTER,N,Currently on the Final NPL,,39.720281,-75.141939,39.720281,-75.141939
NJD980505424,View Facility Information,LONE PINE LANDFILL,"1000 BURKE ROADFREEHOLD, NJ  07728-8632",MONMOUTH,N,Currently on the Final NPL,,40.202781,-74.333339,40.202781,-74.333339
NJN000206345,View Facility Information,MANSFIELD TRAIL DUMP,"ROSS ROAD/BROOKWOOD ROADBYRAM TOWNSHIP, NJ  07821",SUSSEX,N,Currently on the Final NPL,,40.928944,-74.6996,40.928944,-74.6996
NJD014623854,View Facility Information,"MARTIN AARON, INC.","1542 BROADWAYCAMDEN, NJ  08104",CAMDEN,N,Currently on the Final NPL,,39.926111,-75.119167,39.926111,-75.119167
NJD043584101,View Facility Information,"MATLACK, INC.","ROUTE 322 EASTSWEDESBORO, NJ  08085",GLOUCESTER,N,Currently on the Final NPL,,39.763106,-75.322169,39.763106,-75.322169
NJD011770013,View Facility Information,MATTEO & SONS INC.,"1708 US ROUTE 130THOROFARE, NJ  08086",GLOUCESTER,N,Currently on the Final NPL,,39.85559,-75.1727,39.85559,-75.1727
NJD980529762,View Facility Information,MAYWOOD CHEMICAL CO.,"RTE 17 & GROVE STMAYWOOD, NJ  07607",BERGEN,N,Currently on the Final NPL,,40.8964,-74.0693,40.8964,-74.0693
NJD002517472,View Facility Information,METALTEC/AEROSYSTEMS,"WILDCAT & MAPLE ROADSFRANKLIN BOROUGH, NJ  07416",SUSSEX,N,Currently on the Final NPL,,41.109719,-74.599719,41.109719,-74.599719
NJ0890090012,View Facility Information,MIDDLESEX SAMPLING PLANT (USDOE),"239 MOUNTAIN AVEMIDDLESEX, NJ  088462518",MIDDLESEX,Y,Currently on the Final NPL,,40.569806,-74.493194,40.569806,-74.493194
NJD980529408,View Facility Information,"MONITOR DEVICES, INC./INTERCIRCUITS, INC.","RT 34 & AIRPORT ACCESS RDWALL, NJ  07719",MONMOUTH,N,Currently on the Final NPL,,40.185281,-74.119719,40.185281,-74.119719
NJD980654164,View Facility Information,MONTGOMERY TOWNSHIP HOUSING DEVELOPMENT,"ROBIN DRIVE, ROUTE 206, SYCAMORE LANEMONTGOMERY, NJ  08558",SOMERSET,N,Currently on the Final NPL,,40.408331,-74.644169,40.408331,-74.644169
NJD980654198,View Facility Information,MYERS PROPERTY,"LOWER KINGTOWN ROADFRANKLIN TOWNSHIP, NJ  08822",HUNTERDON,N,Currently on the Final NPL,,40.595,-74.9404,40.595,-74.9404
NJD002362705,View Facility Information,NASCOLITE CORP.,"DORIS AVEMILLVILLE, NJ  08332",CUMBERLAND,N,Currently on the Final NPL,,39.422219,-75.032781,39.422219,-75.032781
NJ0170022172,View Facility Information,NAVAL WEAPONS STATION EARLE,"201 STATE ROUTE 34COLTS NECK, NJ  07722",MONMOUTH,Y,Currently on the Final NPL,,40.264581,-74.162919,40.264581,-74.162919
NJD064263817,View Facility Information,NJDEP @ SYNCON RESINS INC,"77 JACOBUS AVEKEARNY, NJ  07032",HUDSON,N,Currently on the Final NPL,,40.737781,-74.114719,40.737781,-74.114719
NJD094966611,View Facility Information,NJDEP COMBE FILL SLF SO CHESTER SITE,"96 PARKER ROADCHESTER, NJ  07930",MORRIS,N,Currently on the Final NPL,,40.771669,-74.738331,40.771669,-74.738331
NJD061843249,View Facility Information,NL INDUSTRIES,"PENNS GROVE PEDRICKTOWN RDPEDRICKTOWN, NJ  08067",SALEM,N,Currently on the Final NPL,,39.758061,-75.424719,39.758061,-75.424719
NJD002148799,View Facility Information,ORANGE VALLEY REGIONAL GROUND WATER CONTAMINATION,"GIST PLACE (NEAR NORTH DAY STREET)ORANGE, NJ  07050",ESSEX,N,Currently on the Final NPL,,40.779936,-74.225267,40.779936,-74.225267
NJD980505648,View Facility Information,PJP LANDFILL,"400 SIP AVENUEJERSEY CITY, NJ  07306",HUDSON,N,Currently on the Final NPL,,40.734719,-74.085561,40.734719,-74.085561
NJD981179047,View Facility Information,POHATCONG VALLEY GROUND WATER CONTAMINATION,"ROUTE 643 TO ROUTE 31WASHINGTON, NJ  07882",WARREN,N,Currently on the Final NPL,,40.75,-75,40.75,-75
NJD070281175,View Facility Information,PRICE LANDFILL,"MILL ROADPLEASANTVILLE, NJ  08232",ATLANTIC,N,Currently on the Final NPL,,39.415281,-74.52695,39.415281,-74.52695
NJD981084767,View Facility Information,PUCHACK WELL FIELD,"WEST OF US 130; SOUTH OF STATE HWY 90PENNSAUKEN, NJ  08110",CAMDEN,N,Currently on the Final NPL,,39.976667,-75.051944,39.976667,-75.051944
NJD000606442,View Facility Information,QUANTA RESOURCES,"ONE RIVER RDEDGEWATER, NJ  07020",BERGEN,N,Currently on the Final NPL,,40.804306,-73.989167,40.804306,-73.989167
NJD047684451,View Facility Information,"RADIATION TECHNOLOGY, INC.","108 LAKE DENMARK ROADROCKAWAY, NJ  07866-4317",MORRIS,N,Currently on the Final NPL,,40.970831,-74.50555,40.970831,-74.50555
NJN000206276,View Facility Information,RARITAN BAY SLAG,"BAYVIEW DRIVEOLD BRIDGE TWP/SAYREVILLE, NJ  08879",MIDDLESEX,N,Currently on the Final NPL,,40.464589,-74.258017,40.464589,-74.258017
NJD980529713,View Facility Information,REICH FARMS,"1579 LAKEWOOD ROAD ROUTE 9TOMS RIVER, NJ  08753",OCEAN,N,Currently on the Final NPL,,40.0106,-74.2149,40.0106,-74.2149
NJD980529739,View Facility Information,RINGWOOD MINES/LANDFILL,"PETERS MINE ROADRINGWOOD, NJ  07456",PASSAIC,N,Currently on the Final NPL,,41.136669,-74.2725,41.136669,-74.2725
NJSFN0204232,View Facility Information,RIVERSIDE INDUSTRIAL PARK,"1700 1716 MCCARTER HWY RNEWARK CITY, NJ  07104",ESSEX,N,Currently on the Final NPL,,40.765722,-74.159084,40.765722,-74.159084
NJD980654115,View Facility Information,ROCKAWAY BOROUGH WELL FIELD,"JACKSON,UNION & GARDEN STSROCKAWAY, NJ  07866",MORRIS,N,Currently on the Final NPL,,40.905831,-74.515561,40.905831,-74.515561
NJD980654214,View Facility Information,ROCKAWAY TOWNSHIP WELLS,"GRENPOND RDROCKAWAY, NJ  07866",MORRIS,N,Currently on the Final NPL,,40.913331,-74.499169,40.913331,-74.499169
NJD980654156,View Facility Information,ROCKY HILL MUNICIPAL WELL,"WASHINGTON STREETROCKY HILL, NJ  08553",SOMERSET,N,Currently on the Final NPL,,40.401669,-74.6475,40.401669,-74.6475
NJD073732257,View Facility Information,ROEBLING STEEL CO.,"2ND AVENUEFLORENCE, NJ  08554",BURLINGTON,N,Currently on the Final NPL,,40.120831,-74.770839,40.120831,-74.770839
NJD980505192,View Facility Information,ROLLING KNOLLS LF,"35 BRITTIN RDGREEN VILLAGE, NJ  07935-3001",MORRIS,N,Currently on the Final NPL,,40.729528,-74.447861,40.729528,-74.447861
NJ0000453514,View Facility Information,ROUTE 561 DUMP,"ROUTE 561GIBBSBORO, NJ  08026",CAMDEN,N,Proposed for NPL,,39.83611,-74.958333,39.83611,-74.958333
NJD070565403,View Facility Information,SCIENTIFIC CHEMICAL PROCESSING,"216 PATERSON PLANK RDCARLSTADT, NJ  07072",BERGEN,N,Currently on the Final NPL,,40.82454,-74.074329,40.82454,-74.074329
NJD980505762,View Facility Information,SHARKEY LANDFILL,"EDWARDS & SHARKEY ROADPARSIPPANY, NJ  07054",MORRIS,N,Currently on the Final NPL,,40.8501,-74.3454,40.8501,-74.3454
NJD980417976,View Facility Information,SHERWIN WILLIAM CO THE,"UNITED STATES & FOSTER AVEGIBBSBORO, NJ  08026",CAMDEN COUNTY,N,Currently on the Final NPL,,39.835526,-74.964977,39.835526,-74.964977
NJD002365930,View Facility Information,SHIELDALLOY METALLURGICAL CORP,"12 WEST BOULEVARDNEWFIELD, NJ  08344",GLOUCESTER,N,Currently on the Final NPL,,39.543061,-75.022219,39.543061,-75.022219
NJD980766828,View Facility Information,SOUTH JERSEY CLOTHING CO.,"5 CENTRAL AVEMINOTOLA, NJ  08341",ATLANTIC,N,Currently on the Final NPL,,39.5206,-74.9491,39.5206,-74.9491
NJD002175057,View Facility Information,STANDARD CHLORINE,"1035 BELLEVILLE TURNPIKEKEARNY, NJ  07032-4410",HUDSON,N,Currently on the Final NPL,,40.75,-74.097222,40.75,-74.097222
NJD041743220,View Facility Information,SWOPE OIL & CHEMICAL CO.,"8281 NATIONAL HWYPENNSAUKEN, NJ  081101401",CAMDEN,N,Currently on the Final NPL,,39.9886,-75.0347,39.9886,-75.0347
NJD002144517,View Facility Information,TROY CHEMICAL CORP,"1 AVENUE LNEWARK, NJ  07105-3895",ESSEX,N,Currently on the Final NPL,,40.7163,-74.1452,40.7163,-74.1452
NJD980654172,View Facility Information,U.S. RADIUM CORP.,"ALDEN & HIGH STS AND OTHER ADDRESSESORANGE, NJ  07050",ESSEX,N,Currently on the Final NPL,,40.781389,-74.228611,40.781389,-74.228611
NJD002164796,View Facility Information,UNIMATIC MFG CORP,"25 SHERWOOD AVEFAIRFIELD, NJ  07004-3601",ESSEX,N,Currently on the Final NPL,,40.878792,-74.269155,40.878792,-74.269155
NJ0001120799,View Facility Information,UNITED STATES AVENUE BURN,"UNITED STATES AVENUEGIBBSBORO, NJ  08026",CAMDEN,N,Currently on the Final NPL,,39.834167,-74.963889,39.834167,-74.963889
NJD002005106,View Facility Information,UNIVERSAL OIL PRODUCTS (CHEMICAL DIVISION),"EAST STATE ROUTE 17EAST RUTHERFORD, NJ  07073",BERGEN,N,Currently on the Final NPL,,40.83,-74.088889,40.83,-74.088889
NJ3210020704,View Facility Information,"US ARMY, PICATINNY ARSENAL","STATE ROUTE 15PICATINNY ARSENAL, NJ  07806",MORRIS,Y,Currently on the Final NPL,,40.916669,-74.583339,40.916669,-74.583339
NJD980663678,View Facility Information,USEPA REGION II HORSESHOE ROAD SUPERFUND SITE,"400 HORSESHOE ROADSAYREVILLE, NJ  08872",MIDDLESEX,N,Currently on the Final NPL,,40.484722,-74.319444,40.484722,-74.319444
NJD980529879,View Facility Information,VENTRON/VELSICOL,"5 ETHEL BLVDWOOD-RIDGE, NJ  07075",BERGEN,N,Currently on the Final NPL,,40.84,-74.079439,40.84,-74.079439
NJD002385664,View Facility Information,"VINELAND CHEMICAL CO., INC.","1611 WEST WHEAT ROADVINELAND, NJ  08360",CUMBERLAND,N,Currently on the Final NPL,,39.510281,-75.056661,39.510281,-75.056661
NJD054981337,View Facility Information,"WALDICK AEROSPACE DEVICES, INC.","2121 ROUTE 35WALL, NJ  07719",MONMOUTH,N,Currently on the Final NPL,,40.143,-74.0613,40.143,-74.0613
NJD986620995,View Facility Information,WELSBACH & GENERAL GAS MANTLE (CAMDEN RADIATION),"5 AREAS IN CAMDEN AND GLOUCESTER CITYGLOUCESTER CITY, NJ  08030",CAMDEN,N,Currently on the Final NPL,,39.919722,-75.121944,39.919722,-75.121944
NJD980755623,View Facility Information,WHITE CHEMICAL CORP.,"660 FRELINGHUYSEN AVENUENEWARK, NJ  07114-1324",ESSEX,N,Currently on the Final NPL,,40.698484,-74.198242,40.698484,-74.198242
NJSFN0204241,View Facility Information,WHITE SWAN LAUNDRY AND CLEANER INC.,"1322 SEA GIRT AVEWALL, NJ  07719",MONMOUTH,N,Currently on the Final NPL,,40.135721,-74.06,40.135721,-74.06
NJD980529945,View Facility Information,WILLIAMS PROPERTY,"RR 1, SIGHTSTOWN RDCAPE MAY COURT HOUSE, NJ  08210-9801",CAPE MAY,N,Currently on the Final NPL,,39.1173,-74.8004,39.1173,-74.8004
NJSFN0204260,View Facility Information,WOODBROOK ROAD DUMP,"FOOT OF WOODBROOK ROAD (SOUTH END)SOUTH PLAINFIELD, NJ  08820",MIDDLESEX,N,Currently on the Final NPL,,40.561564,-74.402914,40.561564,-74.402914
NJD980505887,View Facility Information,WOODLAND ROUTE 532 DUMP,"ROUTE 532WOODLAND TOWNSHIP, NJ  08019",BURLINGTON,N,Currently on the Final NPL,,39.829169,-74.492231,39.829169,-74.492231
NJD980505879,View Facility Information,WOODLAND ROUTE 72 DUMP,"RTE 72, ON SOOEY ROADCHATSWORTH, NJ  08019",BURLINGTON,N,Currently on the Final NPL,,39.821669,-74.447781,39.821669,-74.447781
NJD986643153,View Facility Information,ZSCHIEGNER REFINING,"1442 MAXIM SOUTHARD RDHOWELL, NJ  07731",MONMOUTH,N,Currently on the Final NPL,,40.145833,-74.2,40.145833,-74.2
