STATE,AREA,AGE_ADJUSTED_CI_LOWER,AGE_ADJUSTED_CI_UPPER,AGE_ADJUSTED_RATE,COUNT,EVENT_TYPE,POPULATION,RACE,SEX,SITE,YEAR,CRUDE_CI_LOWER,CRUDE_CI_UPPER,CRUDE_RATE,NAME
New Jersey,NJ: Atlantic County (34001),3.2,6.1,4.5,44,Incidence,690987,All Races,Female,Liver and Intrahepatic Bile Duct,2014-2018,4.6,8.5,6.4,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),3.3,6.3,4.6,44,Mortality,690987,All Races,Female,Liver and Intrahepatic Bile Duct,2014-2018,4.6,8.5,6.4,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),57.7,67.9,62.6,614,Incidence,690987,All Races,Female,Lung and Bronchus,2014-2018,82,96.2,88.9,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),32.8,40.5,36.5,364,Mortality,690987,All Races,Female,Lung and Bronchus,2014-2018,47.4,58.4,52.7,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),18,24.4,21,188,Incidence,690987,All Races,Female,Melanomas of the Skin,2014-2018,23.5,31.4,27.2,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),1.1,3.2,1.9,18,Mortality,690987,All Races,Female,Melanomas of the Skin,2014-2018,1.5,4.1,2.6,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),~,~,~,~,Incidence,690987,All Races,Female,Mesothelioma,2014-2018,~,~,~,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),~,~,~,~,Mortality,690987,All Races,Female,Mesothelioma,2014-2018,~,~,~,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),4.5,7.9,6,57,Incidence,690987,All Races,Female,Myeloma,2014-2018,6.2,10.7,8.2,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),1,2.7,1.6,18,Mortality,690987,All Races,Female,Myeloma,2014-2018,1.5,4.1,2.6,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),14.6,20.2,17.3,164,Incidence,690987,All Races,Female,Non-Hodgkin Lymphoma,2014-2018,20.2,27.7,23.7,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),3.7,6.8,5.1,49,Mortality,690987,All Races,Female,Non-Hodgkin Lymphoma,2014-2018,5.2,9.4,7.1,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),4.6,8.1,6.1,56,Incidence,690987,All Races,Female,Oral Cavity and Pharynx,2014-2018,6.1,10.5,8.1,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),~,~,~,~,Mortality,690987,All Races,Female,Oral Cavity and Pharynx,2014-2018,~,~,~,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),10.9,16.1,13.3,118,Incidence,690987,All Races,Female,Ovary,2014-2018,14.1,20.5,17.1,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),4.4,7.8,5.9,57,Mortality,690987,All Races,Female,Ovary,2014-2018,6.2,10.7,8.2,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),10.5,15.2,12.6,125,Incidence,690987,All Races,Female,Pancreas,2014-2018,15.1,21.6,18.1,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),7.8,12,9.7,97,Mortality,690987,All Races,Female,Pancreas,2014-2018,11.4,17.1,14,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),4.2,7.7,5.7,49,Incidence,690987,All Races,Female,Stomach,2014-2018,5.2,9.4,7.1,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),1,2.9,1.7,16,Mortality,690987,All Races,Female,Stomach,2014-2018,1.3,3.8,2.3,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),18.7,25.9,22.1,168,Incidence,690987,All Races,Female,Thyroid,2014-2018,20.8,28.3,24.3,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),~,~,~,~,Mortality,690987,All Races,Female,Thyroid,2014-2018,~,~,~,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),8.8,13.2,10.8,107,Incidence,690987,All Races,Female,Urinary Bladder,2014-2018,12.7,18.7,15.5,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),1.2,3.1,1.9,20,Mortality,690987,All Races,Female,Urinary Bladder,2014-2018,1.8,4.5,2.9,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),527,560.3,543.5,4383,Incidence,648448,All Races,Male,All Cancer Sites Combined,2014-2018,656.1,696.2,675.9,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),174.5,194.2,184.2,1430,Mortality,648448,All Races,Male,All Cancer Sites Combined,2014-2018,209.2,232.3,220.5,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),5.3,9.5,7.2,54,Incidence,648448,All Races,Male,Brain and Other Nervous System,2014-2018,6.3,10.9,8.3,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),3.2,6.4,4.6,39,Mortality,648448,All Races,Male,Brain and Other Nervous System,2014-2018,4.3,8.2,6,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),40.4,50.3,45.1,348,Incidence,648448,All Races,Male,Colon and Rectum,2014-2018,48.2,59.6,53.7,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),13.2,19.2,16,123,Mortality,648448,All Races,Male,Colon and Rectum,2014-2018,15.8,22.6,19,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),5.7,9.7,7.5,+,Incidence,648448,All Races,Male,Esophagus,2014-2018,7.5,12.4,9.7,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),5.7,9.7,7.5,+,Mortality,648448,All Races,Male,Esophagus,2014-2018,7.6,12.6,9.9,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),1.9,4.8,3.1,+,Incidence,648448,All Races,Male,Hodgkin Lymphoma,2014-2018,2,5,3.2,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),~,~,~,~,Mortality,648448,All Races,Male,Hodgkin Lymphoma,2014-2018,~,~,~,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),~,~,~,~,Incidence,648448,All Races,Male,Kaposi Sarcoma,2014-2018,~,~,~,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),.,.,.,.,Mortality,648448,All Races,Male,Kaposi Sarcoma,2014-2018,.,.,.,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),20.5,27.6,23.8,190,Incidence,648448,All Races,Male,Kidney and Renal Pelvis,2014-2018,25.3,33.8,29.3,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),1.7,4.3,2.8,22,Mortality,648448,All Races,Male,Kidney and Renal Pelvis,2014-2018,2.1,5.1,3.4,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),4.9,8.5,6.5,+,Incidence,648448,All Races,Male,Larynx,2014-2018,6.4,11,8.5,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),~,~,~,~,Mortality,648448,All Races,Male,Larynx,2014-2018,~,~,~,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),15.8,22.5,18.9,140,Incidence,648448,All Races,Male,Leukemias,2014-2018,18.2,25.5,21.6,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),5.1,9.3,7,49,Mortality,648448,All Races,Male,Leukemias,2014-2018,5.6,10,7.6,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),13.1,18.8,15.7,136,Incidence,648448,All Races,Male,Liver and Intrahepatic Bile Duct,2014-2018,17.6,24.8,21,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),8.7,13.6,10.9,89,Mortality,648448,All Races,Male,Liver and Intrahepatic Bile Duct,2014-2018,11,16.9,13.7,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),64.1,76.1,69.9,560,Incidence,648448,All Races,Male,Lung and Bronchus,2014-2018,79.4,93.8,86.4,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),37.8,47.2,42.3,335,Mortality,648448,All Races,Male,Lung and Bronchus,2014-2018,46.3,57.5,51.7,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),~,~,~,~,Incidence,0,All Races,Male,Male Breast,2014-2018,~,~,~,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),~,~,~,~,Mortality,0,All Races,Male,Male Breast,2014-2018,~,~,~,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),32,40.8,36.2,286,Incidence,648448,All Races,Male,Melanomas of the Skin,2014-2018,39.1,49.5,44.1,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),2.3,5.2,3.6,28,Mortality,648448,All Races,Male,Melanomas of the Skin,2014-2018,2.9,6.2,4.3,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),~,~,~,~,Incidence,648448,All Races,Male,Mesothelioma,2014-2018,~,~,~,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),~,~,~,~,Mortality,648448,All Races,Male,Mesothelioma,2014-2018,~,~,~,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),4.8,8.6,6.5,50,Incidence,648448,All Races,Male,Myeloma,2014-2018,5.7,10.2,7.7,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),1.6,4.1,2.6,20,Mortality,648448,All Races,Male,Myeloma,2014-2018,1.9,4.8,3.1,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),23.9,31.8,27.6,210,Incidence,648448,All Races,Male,Non-Hodgkin Lymphoma,2014-2018,28.2,37.1,32.4,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),5.8,10.1,7.7,57,Mortality,648448,All Races,Male,Non-Hodgkin Lymphoma,2014-2018,6.7,11.4,8.8,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),21,28,24.3,208,Incidence,648448,All Races,Male,Oral Cavity and Pharynx,2014-2018,27.9,36.7,32.1,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),3.4,6.7,4.8,+,Mortality,648448,All Races,Male,Oral Cavity and Pharynx,2014-2018,4.4,8.4,6.2,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),13.6,19.5,16.3,130,Incidence,648448,All Races,Male,Pancreas,2014-2018,16.7,23.8,20,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),10.3,15.6,12.7,99,Mortality,648448,All Races,Male,Pancreas,2014-2018,12.4,18.6,15.3,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),114.5,129.6,121.8,1072,Incidence,648448,All Races,Male,Prostate,2014-2018,155.6,175.5,165.3,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),15.8,22.4,18.9,137,Mortality,648448,All Races,Male,Prostate,2014-2018,17.7,25,21.1,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),7.8,12.4,9.9,80,Incidence,648448,All Races,Male,Stomach,2014-2018,9.8,15.4,12.3,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),2.8,5.9,4.1,33,Mortality,648448,All Races,Male,Stomach,2014-2018,3.5,7.1,5.1,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),3.5,7.4,5.2,31,Incidence,648448,All Races,Male,Testis,2014-2018,3.2,6.8,4.8,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),~,~,~,~,Mortality,648448,All Races,Male,Testis,2014-2018,~,~,~,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),7.5,12.6,9.8,65,Incidence,648448,All Races,Male,Thyroid,2014-2018,7.7,12.8,10,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),~,~,~,~,Mortality,648448,All Races,Male,Thyroid,2014-2018,~,~,~,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),37.7,47.1,42.2,335,Incidence,648448,All Races,Male,Urinary Bladder,2014-2018,46.3,57.5,51.7,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),6.9,11.5,9,67,Mortality,648448,All Races,Male,Urinary Bladder,2014-2018,8,13.1,10.3,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),484.9,506.5,495.6,8650,Incidence,1339435,All Races,Male and Female,All Cancer Sites Combined,2014-2018,632.3,659.5,645.8,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),156.4,168.6,162.4,2880,Mortality,1339435,All Races,Male and Female,All Cancer Sites Combined,2014-2018,207.2,223,215,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),5.2,7.9,6.4,101,Incidence,1339435,All Races,Male and Female,Brain and Other Nervous System,2014-2018,6.1,9.2,7.5,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),3.2,5.2,4.1,73,Mortality,1339435,All Races,Male and Female,Brain and Other Nervous System,2014-2018,4.3,6.9,5.5,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),6.3,10.9,8.4,60,Incidence,690987,All Races,Male and Female,Cervix,2014-2018,6.6,11.2,8.7,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),1.7,4.2,2.7,23,Mortality,690987,All Races,Male and Female,Cervix,2014-2018,2.1,5,3.3,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),37.3,43.5,40.3,699,Incidence,1339435,All Races,Male and Female,Colon and Rectum,2014-2018,48.4,56.2,52.2,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),11.4,15,13.1,233,Mortality,1339435,All Races,Male and Female,Colon and Rectum,2014-2018,15.2,19.8,17.4,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),28.2,35.7,31.7,305,Incidence,690987,All Races,Male and Female,"Corpus and Uterus, NOS",2014-2018,39.3,49.4,44.1,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),4.4,7.6,5.8,58,Mortality,690987,All Races,Male and Female,"Corpus and Uterus, NOS",2014-2018,6.4,10.9,8.4,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),3.3,5.4,4.3,77,Incidence,1339435,All Races,Male and Female,Esophagus,2014-2018,4.5,7.2,5.7,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),3.1,5,4,75,Mortality,1339435,All Races,Male and Female,Esophagus,2014-2018,4.4,7,5.6,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),1.5,3.2,2.2,31,Incidence,1339435,All Races,Male and Female,Hodgkin Lymphoma,2014-2018,1.6,3.3,2.3,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),~,~,~,~,Mortality,1339435,All Races,Male and Female,Hodgkin Lymphoma,2014-2018,~,~,~,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),~,~,~,~,Incidence,1339435,All Races,Male and Female,Kaposi Sarcoma,2014-2018,~,~,~,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),.,.,.,.,Mortality,1339435,All Races,Male and Female,Kaposi Sarcoma,2014-2018,.,.,.,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),15.4,19.5,17.3,301,Incidence,1339435,All Races,Male and Female,Kidney and Renal Pelvis,2014-2018,20,25.2,22.5,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),1.8,3.4,2.5,43,Mortality,1339435,All Races,Male and Female,Kidney and Renal Pelvis,2014-2018,2.3,4.3,3.2,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),2.8,4.6,3.6,67,Incidence,1339435,All Races,Male and Female,Larynx,2014-2018,3.9,6.4,5,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),0.8,1.9,1.2,22,Mortality,1339435,All Races,Male and Female,Larynx,2014-2018,1,2.5,1.6,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),12.1,15.8,13.8,232,Incidence,1339435,All Races,Male and Female,Leukemias,2014-2018,15.2,19.7,17.3,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),4.9,7.3,6,103,Mortality,1339435,All Races,Male and Female,Leukemias,2014-2018,6.3,9.3,7.7,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),8.4,11.4,9.8,180,Incidence,1339435,All Races,Male and Female,Liver and Intrahepatic Bile Duct,2014-2018,11.5,15.6,13.4,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),6.3,9,7.5,133,Mortality,1339435,All Races,Male and Female,Liver and Intrahepatic Bile Duct,2014-2018,8.3,11.8,9.9,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),61.8,69.5,65.6,1174,Incidence,1339435,All Races,Male and Female,Lung and Bronchus,2014-2018,82.7,92.8,87.6,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),36.1,42.1,39,699,Mortality,1339435,All Races,Male and Female,Lung and Bronchus,2014-2018,48.4,56.2,52.2,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),122,137.5,129.6,1192,Incidence,690987,All Races,Male and Female,Male and Female Breast,2014-2018,162.9,182.6,172.5,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),19.6,26,22.6,218,Mortality,690987,All Races,Male and Female,Male and Female Breast,2014-2018,27.5,36,31.5,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),33.8,42.5,38,336,Incidence,690987,All Races,Male and Female,"Male and Female Breast, <i>in situ</i>",2014-2018,43.6,54.1,48.6,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),25,30.2,27.5,474,Incidence,1339435,All Races,Male and Female,Melanomas of the Skin,2014-2018,32.3,38.7,35.4,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),1.9,3.6,2.7,46,Mortality,1339435,All Races,Male and Female,Melanomas of the Skin,2014-2018,2.5,4.6,3.4,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),0.8,2,1.3,21,Incidence,1339435,All Races,Male and Female,Mesothelioma,2014-2018,1,2.4,1.6,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),~,~,~,~,Mortality,1339435,All Races,Male and Female,Mesothelioma,2014-2018,~,~,~,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),5,7.5,6.2,107,Incidence,1339435,All Races,Male and Female,Myeloma,2014-2018,6.5,9.7,8,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),1.4,2.8,2,38,Mortality,1339435,All Races,Male and Female,Myeloma,2014-2018,2,3.9,2.8,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),19.7,24.4,21.9,374,Incidence,1339435,All Races,Male and Female,Non-Hodgkin Lymphoma,2014-2018,25.2,30.9,27.9,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),5,7.5,6.2,106,Mortality,1339435,All Races,Male and Female,Non-Hodgkin Lymphoma,2014-2018,6.5,9.6,7.9,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),12.8,16.5,14.6,264,Incidence,1339435,All Races,Male and Female,Oral Cavity and Pharynx,2014-2018,17.4,22.2,19.7,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),2.2,3.9,2.9,52,Mortality,1339435,All Races,Male and Female,Oral Cavity and Pharynx,2014-2018,2.9,5.1,3.9,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),10.9,16.1,13.3,118,Incidence,690987,All Races,Male and Female,Ovary,2014-2018,14.1,20.5,17.1,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),4.4,7.8,5.9,57,Mortality,690987,All Races,Male and Female,Ovary,2014-2018,6.2,10.7,8.2,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),12.6,16.3,14.3,255,Incidence,1339435,All Races,Male and Female,Pancreas,2014-2018,16.8,21.5,19,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),9.5,12.8,11.1,196,Mortality,1339435,All Races,Male and Female,Pancreas,2014-2018,12.7,16.8,14.6,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),114.5,129.6,121.8,1072,Incidence,648448,All Races,Male and Female,Prostate,2014-2018,155.6,175.5,165.3,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),15.8,22.4,18.9,137,Mortality,648448,All Races,Male and Female,Prostate,2014-2018,17.7,25,21.1,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),6.2,9,7.5,129,Incidence,1339435,All Races,Male and Female,Stomach,2014-2018,8,11.4,9.6,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),2,3.7,2.7,49,Mortality,1339435,All Races,Male and Female,Stomach,2014-2018,2.7,4.8,3.7,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),3.5,7.4,5.2,31,Incidence,648448,All Races,Male and Female,Testis,2014-2018,3.2,6.8,4.8,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),~,~,~,~,Mortality,648448,All Races,Male and Female,Testis,2014-2018,~,~,~,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),14.1,18.5,16.2,233,Incidence,1339435,All Races,Male and Female,Thyroid,2014-2018,15.2,19.8,17.4,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),~,~,~,~,Mortality,1339435,All Races,Male and Female,Thyroid,2014-2018,~,~,~,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),22.4,27.1,24.6,442,Incidence,1339435,All Races,Male and Female,Urinary Bladder,2014-2018,30,36.2,33,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),3.8,5.9,4.7,87,Mortality,1339435,All Races,Male and Female,Urinary Bladder,2014-2018,5.2,8,6.5,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),-,-,-,-,Incidence,5408,American Indian/Alaska Native,Female,All Cancer Sites Combined,2014-2018,-,-,-,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),~,~,~,~,Mortality,5408,American Indian/Alaska Native,Female,All Cancer Sites Combined,2014-2018,~,~,~,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),-,-,-,-,Incidence,5408,American Indian/Alaska Native,Female,Brain and Other Nervous System,2014-2018,-,-,-,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),~,~,~,~,Mortality,5408,American Indian/Alaska Native,Female,Brain and Other Nervous System,2014-2018,~,~,~,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),-,-,-,-,Incidence,5408,American Indian/Alaska Native,Female,Cervix,2014-2018,-,-,-,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),~,~,~,~,Mortality,5408,American Indian/Alaska Native,Female,Cervix,2014-2018,~,~,~,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),-,-,-,-,Incidence,5408,American Indian/Alaska Native,Female,Colon and Rectum,2014-2018,-,-,-,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),~,~,~,~,Mortality,5408,American Indian/Alaska Native,Female,Colon and Rectum,2014-2018,~,~,~,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),-,-,-,-,Incidence,5408,American Indian/Alaska Native,Female,"Corpus and Uterus, NOS",2014-2018,-,-,-,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),~,~,~,~,Mortality,5408,American Indian/Alaska Native,Female,"Corpus and Uterus, NOS",2014-2018,~,~,~,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),-,-,-,-,Incidence,5408,American Indian/Alaska Native,Female,Esophagus,2014-2018,-,-,-,Atlantic County (34001)
New Jersey,NJ: Atlantic County (34001),~,~,~,~,Mortality,5408,American Indian/Alaska Native,Female,Esophagus,2014-2018,~,~,~,Atlantic County (34001)
